x,y
468,878.3150919727539
487,1024.4977549344658
498,985.945302581112
301,665.8489472624816
342,754.9022997043716
402,773.3103953423887
430,837.679498314952
491,928.7731554770206
471,1077.1329837620617
353,851.1439775314947
306,774.9370665993952
322,703.1321696427827
379,921.7588007468718
343,637.3797979688369
449,940.3389386309975
411,933.7212014814427
361,584.5324444758232
372,1018.9076313737357
308,777.2613221881037
411,735.04119104012
478,1006.8032238553612
468,996.1464403138182
493,1054.4796932360127
316,658.2428540450535
300,632.5691304292061
440,848.4771478730624
462,910.8795101381147
344,793.0727903938565
491,875.731117425495
367,717.6990906886409
465,982.9557275843091
463,894.0300862122114
384,755.2242202187583
310,740.9624591456851
319,649.4215871943379
312,555.0315760247768
469,1036.4309260905857
434,1029.7922192322017
402,907.5765952531947
437,949.7115303043813
336,680.5644421698142
413,973.6126163135655
320,581.4533583296217
467,912.9687977154617
373,663.1417370133495
399,834.1565774718867
441,797.6075647284041
310,566.9617144149746
349,728.6958677863333
492,1039.2161746949073
340,759.0745340468593
414,946.764269064213
411,828.7402936868239
416,761.4747648853577
418,821.3517116627745
428,1029.808018353354
494,1142.3514100188477
370,830.7888298166292
382,883.8926367944431
453,1033.8913941844535
395,838.2271631715194
471,1042.6112358696003
437,931.6641197798243
306,658.6739793027632
316,625.3277566114647
346,857.6247540705536
441,993.1536102980596
454,936.7947027443848
397,1100.006379897483
474,958.0420329346734
302,622.4362989621325
461,1134.1420317962431
438,821.3417090362109
413,859.8506480393796
491,1057.9685020048296
368,936.7894231767266
500,1059.7198967116426
395,706.699472779688
465,891.2561546788426
313,675.83049187664
343,672.126573950702
383,713.7822755545411
303,801.3000971541105
417,810.6784554468287
430,1036.6131507652171
329,748.2312225365737
403,932.6691071628982
474,959.3816082566486
483,1024.4019289163768
399,818.5612369767678
435,913.4936721967829
401,814.7394261337116
498,1039.6424753161466
449,883.453356095819
421,934.4284328082889
493,931.2384016608637
364,645.527335689346
452,996.3986228596794
451,950.6200751788094
403,996.5987363223529
447,994.6034555603982
352,761.8341046602213
314,717.8857727510567
338,710.2898447376458
493,1077.8234478207016
425,952.9979430224732
378,809.9156028097229
482,1012.444912464501
363,831.7447979220818
420,894.9097232525685
328,682.4924307510588
360,649.8575126068945
500,987.7429384857112
444,831.7930226257776
408,823.9802211257057
463,1008.6245443814626
325,652.1703251038689
353,681.6190500644677
369,787.6065878025476
313,692.2819213868942
453,818.9256136419538
348,722.81316643469
500,1060.4790271166846
315,798.5052244702466
317,700.7904096368756
464,1056.0841058052529
484,982.0363584968788
426,699.3280507557579
357,831.7978255634815
409,959.7015272508212
346,626.2607654456922
500,1103.120644452295
463,1197.1902918775238
450,1020.9464668947583
489,1092.232915077891
473,924.7675777086095
425,775.3209259180774
441,862.9354299887154
323,801.1507432233699
406,912.2946908739287
397,837.0568812946752
341,651.656781185668
329,774.3482990528842
397,735.2293456792677
433,948.7323797504274
375,662.7431996816772
469,1081.2150548152663
381,878.3157198817572
424,909.6242936964087
378,876.6585345585888
385,767.1497035682007
340,772.7451448897411
443,903.2201564109464
419,736.5376768379837
419,851.7440057441006
406,917.4640138888552
346,672.6366809129532
307,804.7805708020512
343,729.4100482446396
444,1029.702620703693
379,890.7895766793831
327,670.771051770032
356,807.278083764161
480,1049.2822545283407
332,784.2109637380142
476,951.3048222035657
304,652.82289750233
383,857.6942399559075
356,746.5032697838328
313,670.3340224397191
492,1071.717265506182
416,913.5017279075256
385,864.5594569102714
365,645.737491000562
438,818.7629205494057
421,1049.9665933570288
303,572.0584523680945
402,769.8972140669043
