x,y
242,67808.74924429783
166,-82456.92996403661
254,90713.08160074565
256,-20675.608097501445
205,22261.954531429437
132,22533.138117346658
155,10528.85689312587
216,30552.078272615137
141,-21474.64954866005
210,-10106.116680223111
194,-22832.272896501137
209,-5698.8013525687775
192,43279.20964145199
162,-6258.315746202962
160,-38298.7530784824
271,-78843.30295670872
265,-120960.2460297408
220,3819.333471085319
198,-12616.207258415772
160,25078.0730246421
120,-8872.248890741059
192,-46493.809472749665
246,-12229.18349487413
178,17149.582342919963
148,-22399.902253566906
207,17247.367676191927
130,40719.575840491176
180,21605.541305704206
162,24417.966668253986
171,4362.303205270812
133,16761.20454249768
124,38887.80747165317
237,-37416.087678211086
236,24349.029750049576
209,8432.84851582662
285,12909.68815032331
135,204.5174112984131
267,-21086.583716035355
186,-38877.51927697522
269,117872.99720727207
215,33374.31553279501
191,61258.67048310008
175,8590.575849657045
249,-79483.17487570108
144,10482.016152892575
287,122289.84877556979
252,-19408.34447255801
287,39249.69474551585
300,-171596.814818934
204,-53608.491593962826
284,102057.84072997271
141,-5472.955657106116
280,96450.36824239956
129,-19442.82821091088
122,-24705.853052956238
291,71483.75723267072
279,-32842.925971997865
279,-98556.77080094142
171,22591.24897647863
287,85746.3482485537
198,53537.69241660743
293,2683.044642500191
300,48623.02842062487
186,29836.806197302667
150,-37578.18720166994
267,132802.37314946103
195,15366.764090158189
167,-5270.1918988587695
172,-47808.98397686701
144,-26007.074814621097
133,12922.028942921754
233,-9675.450077424646
186,-54582.14766775446
153,-16837.634461635458
136,7477.113162419491
176,-12260.608211035997
207,69977.14632420757
296,-175464.8141836812
240,217944.0401220394
171,-3597.17678677566
299,14028.363582411435
297,6840.4224026426355
213,-6588.052348245554
220,28632.842839842
203,86725.14679742271
182,-3573.0322424552724
272,-37450.60697166663
232,-77730.17292865994
129,9426.375275403369
291,86764.19406784237
293,80675.2675362039
156,-21561.693401869143
132,-25241.50191917526
146,-12979.734423762387
260,-89629.81524458915
257,46056.268183320615
204,52607.19183029683
210,6820.8847763280555
258,80224.87831979143
229,-21831.116822619424
217,2399.1257005787556
265,30641.969541076593
233,-17920.93960505852
128,18885.270545641015
201,-34018.91607157346
277,23003.96138627133
224,-11356.77251746707
128,-15937.441025626911
285,161803.84104011618
289,36705.11117469045
125,-17228.65536571474
132,-12112.60428964393
217,-10595.876982985374
167,-23480.88964066917
184,-157.3159737601245
168,5219.0320266962835
292,-103235.74346851524
176,16553.24485576085
266,5847.5780390185555
192,25600.061425538384
211,-75199.30934501745
188,-14735.683392724555
295,-97358.87841924054
267,-9518.294979566264
223,20719.361207853748
148,31298.914051393727
173,-26981.713301366322
203,39645.98516807989
254,20251.405728962905
188,-68091.07769638441
183,-51175.99273303278
197,31336.250160689313
254,59411.94766657167
168,4823.027704281428
171,-11564.729178957568
296,58313.26539581948
122,4977.631662786679
294,-91309.30045301399
216,7913.4418962069485
200,34626.38759575832
250,-45714.27777179072
161,-28599.58569239662
291,105371.57854775574
277,9025.951471429431
160,-10200.504278091901
151,1930.9387343907463
123,-18905.452132722872
266,-135248.0911663052
170,-55751.372673792976
121,3938.290738322598
289,26254.76182334762
169,-21364.77295994228
251,7402.790992347609
135,7222.250473734442
272,137653.63522082634
225,-92145.1427542209
241,30828.969597171177
169,41424.28456215879
268,113747.7827318999
240,-11584.58940571317
234,35896.17928668815
252,28891.5095990239
167,-12637.59271542773
176,-51231.348196516614
260,46451.852558346225
255,92319.79762796096
247,38945.53705598924
221,2048.193878049393
275,-71942.15490655843
299,-27296.521314981117
167,-4210.114161306456
212,-66070.34292214813
156,-50907.483193002736
262,-54366.44184913727
135,-12665.5065165197
210,-9626.387522362882
163,-2103.699294560751
229,-3773.9828510646003
299,32201.161180980696
206,46870.21833351789
245,-4236.594724725963
265,85286.23361750621
251,174964.24349958167
203,-16427.58203391992
164,21024.618383615194
216,21056.326046501043
129,-5373.254581999705
234,1527.4487165903602
246,4186.887684916933
133,-20257.345579994882
182,26434.388830737196
257,-3835.1824855413533
164,4834.9903053830585
218,-32916.72979128422
171,30021.68235232086
134,1725.0635768280358
252,-24948.112124834148
194,-27785.791231521
232,-70925.28997309112
281,73933.52430810843
238,29021.972034228616
274,187706.49177773244
230,-48188.11091771961
254,105651.25897683717
221,76430.17473886887
168,34575.678846086565
145,1542.5615236108274
170,44307.548957570645
265,-24976.673992415013
233,84382.30682833241
270,-55698.90302817117
153,22380.11916776253
213,38406.89223743451
279,-84381.93136216419
